trade_date,symbol,open,high,low,close,volume
2022-01-04,AAPL,178.87758836256972,179.18121654083714,175.43969718796814,176.00778198242188,99310400
2022-01-05,AAPL,175.91962765597447,176.46811917460536,171.0517430102158,171.32598876953125,94537600
2022-01-06,AAPL,169.15157192201912,171.69815632959336,168.1133538766339,168.46595764160156,96904000
2022-01-07,AAPL,169.33771503993543,170.56203191509988,167.51593093187975,168.63250732421875,86709100
2022-01-10,AAPL,165.6060435932456,168.95577366020586,164.7147370844612,168.6521453857422,106765600
2022-01-11,AAPL,168.77942565072323,171.58064816981238,167.31024547595837,171.4827117919922,76138300
2022-01-12,AAPL,172.50133585944042,173.53955411934612,171.22805833783443,171.9234619140625,74805200
2022-01-13,AAPL,172.16838079852835,172.99111837035474,168.2603549144356,168.6521453857422,84505800
2022-01-14,AAPL,167.81951220867464,170.20938047210834,167.57464890209772,169.51397705078125,80440800
2022-01-18,AAPL,167.98604466295757,168.99488045377709,165.92920152184269,166.31118774414062,90956700
2022-01-19,AAPL,166.5070728064469,167.56488423888524,162.53049451772475,162.8145294189453,94815000
2022-01-20,AAPL,163.54913404663756,166.19365539118294,160.80666137829382,161.1298828125,91420500
2022-01-21,AAPL,161.0417090492799,162.9124684305105,158.96527284535048,159.07301330566406,122848900
2022-01-24,AAPL,156.73213888196668,158.9652914615593,151.5214395660685,158.29925537109375,162294600
2022-01-25,AAPL,155.71348938472497,159.41582185177984,153.79376918824497,156.49705505371094,115798400
2022-01-26,AAPL,160.14063545703362,161.01234841002858,154.57734716045317,156.40892028808594,108275300
2022-01-27,AAPL,159.11220830674253,160.47364799025604,155.02788925620197,155.94857788085938,121954600
2022-01-28,AAPL,162.30522203050273,166.8498849998228,159.45500918063075,166.83029174804688,179935700
2022-01-31,AAPL,166.66380312140188,171.4043542462614,166.02714940989443,171.18887329101562,115541600
2022-02-01,AAPL,170.43469133018758,171.2476394960686,168.76962343591478,171.02236938476562,86213900
2022-02-02,AAPL,171.15949584991125,172.266283066221,169.7686736999572,172.2270965576172,84914300
2022-02-03,AAPL,170.8950419808838,172.61888970067017,168.5835311300311,169.34750366210938,89418100
2022-02-04,AAPL,168.36677539536157,170.74008547588204,167.38607419208668,169.06307983398438,82465400
2022-02-07,AAPL,169.52403712153145,170.59299800892276,167.65089393875687,168.34719848632812,77251200
2022-02-08,AAPL,168.41585889249356,171.96600838202775,168.12164545926012,171.45603942871094,74829200
2022-02-09,AAPL,172.65247937368048,173.2408912177467,171.524663818335,172.87803649902344,71285000
2022-02-10,AAPL,170.77933021680633,172.09346641687537,168.23931734555768,168.79830932617188,90865900
2022-02-11,AAPL,169.00425774018962,169.73978371917386,164.79704076038374,165.38546752929688,98670700
2022-02-14,AAPL,164.13996586391173,166.30732224292808,163.34560023389338,165.62083435058594,86185500
2022-02-15,AAPL,167.67051458711066,169.6122991115677,166.96440840288716,169.45538330078125,62527400
2022-02-16,AAPL,168.5335437423192,169.99477926994211,166.76827820676257,169.22003173828125,61177400
